Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)			
1102	46 40	#at 20 20 #time 6	24	Eh? What's that you say?			
1103	46 41	#at 20 20 #time 4	17	I cain't hear ya!			
1104	46 42	#at 20 20 #time 4	20	What's that you say?			
1105	46 42	#at 20 20 #time 4	24	What? Speak louder, boy!			
1106	46 44	#at 20 20 #time 4	16	Eh? What's that?			
1107	46 45	#at 20 20 #time 4	23	I cain't understand ya!			
1108	46 46	#at 20 20 #time 4	20	Gotta speak up, boy!			
1109	46 47	#at 20 20 #time 4	3	Eh?			
1110	46 48	#at 20 20 #time 4	26	What? I cain't understand!			
1111	46 49	#at 20 20 #time 4	27	I cain't hear ya! Speak up!			
1112	46 50	#at 20 20 #time 9	78	Can't understand a thing you said. Gotta speak up boy! Now, get on outta here!			
1113	46 28	#at 100 10 #time 9	145	I'm King Graham of Daventry and I'm on a journey to find the wizard Mordack's island. But I seem to be stuck; I don't know where to go from here.			
1114	46 29	#at 100 10 #time 4	33	Please help me. I need your help.			
1115	46 30	#at 100 10 #time 4	29	I just need some information.			
1116	46 31	#at 100 10 #time 4	43	Do you know where the wizard Mordack lives?			
1117	46 32	#at 100 10 #time 4	35	I don't know where to go from here.			
1118	46 33	#at 100 10 #time 4	16	Can you help me?			
1119	46 34	#at 100 10 #time 5	60	My family has been kidnapped by Mordack. I need to find him.			
1120	46 35	#at 100 10 #time 5	22	You've got to help me!			
1121	46 36	#at 100 10 #time 5	38	Please! Take the time to listen to me.			
1122	46 37	#at 100 10 #time 5	37	I need help to find Mordack's island.			
1123	46 38	#at 100 10 #time 5	35	I think I'm lost. I need your help.			
1124	46 39	#at 100 10 #time 5	51	I think you can help me...if you would only listen.			
1125			0				
1126			0				
1127	46 6	#at 20 20 #time 3	12	What's this?			
1128	46 9	#at 10 20 #time 4	26	Now what were you wantin'?			
1129	46 10	#at 100 10 #time 5	47	Can you tell me how to get to Mordack's island?			
1130	46 11	#at 100 10 #time 5	53	My owl friend is hurt. He was wounded by the harpies.			
1131	46 12	#at 10 10 #time 7	72	Eh? Too much noise out here! Come on inside where I can hear ya' better.			
1132	46 13	#at 10 10 #time 7	107	Wounded by the harpies, did you say? Well, if you can bring him to me, I'll fix him right up...good as new!			
1133	46 14	#at 10 10 #time 7	78	Came back, eh? Bring your friend on in here and I'll see if I can heal him up!			
1134	46 8	#time 5 #at 20 20	8	Go away!			
1135	111 0	#at 10 10 #dispose	25	Lay him on the bed there.			
1136	111 1	#at 10 10 #dispose	60	These poultices should fix the little feller up good as new.			
1137	111 2	#at 100 145 #dispose	111	I'm feeling better already! Tell me, what was in those poultices? My employer would be very interested in them.			
1138	111 3	#at 10 10 #dispose	18	Eh? What was that?			
1139	111 4	#at 100 145 #dispose	77	I said, what was in those poultices? My employer would be interested in them.			
1140			0				
1141	111 5	#at 10 10 #dispose	158	Gifts from the sea, lad. Gifts from the sea. Ain't nothin' special. You just gotta know how to use 'em. I don't think he'd find them particularly interestin'.			
1142	112 0	#at 10 10 #dispose	55	Now, son. What was it you was tryin' to tell me before?			
1143	112 1	#at 100 120 #dispose	161	I was trying to find out where the wizard Mordack's island is. He kidnapped my family and is holding them hostage there. I MUST get to them before it's too late!			
1144	112 2	#at 10 10 #dispose	105	Oh, I'm right sorry to hear about that. He's a nasty one, that Mordack. I wouldn't wanna tangle with him.			
1145	112 3	#at 10 10 #dispose	113	I'd try to talk you outta goin' there 'cept I can see that you cain't leave your poor defenseless family unaided.			
1146	112 4	#at 10 10 #dispose	80	I can enlist someone who can lead you straight to his island. Follow me outside.			
1147	46 0	#at 10 10 #dispose	139	Pearl, this man needs your help. He needs you to lead him to Mordack's island. It's a real 'mergency. Mordack's holdin' his family hostage.			
1148	46 1	#at 10 10 #dispose	101	Pearl cain't speak human talk but she's agreed to help you. Just get on into your boat and folla her.			
1149	46 2	#at 100 10 #dispose	59	Cedric and I want to thank you for all your help, Mr....uh?			
1150			0				
1151	46 3	#at 10 10 #dispose	99	Don't worry about who I am. You just get on over to that there island and take care of your family.			
1152	46 4	#at 100 10 #dispose	41	Aye aye, sir! We're off! Come on, Cedric!			
1153			0				
1154	206 13	#at 8 8 #width 160 #time 6	26	Would you like a pie, sir?			
1155	206 14	#at 8 112 #width 160 #time 6	30	Well...yes, actually. I would.			
1156	206 15	#at 8 8 #width 160 #time 6	32	That'll be one silver coin then.			
1157	206 16	#at 8 112 #width 160 #time 6	25	Let me see if I have one.			
1158	206 17	#at 8 8 #width 160 #time 6	28	Well, let me know if you do.			
1159	206 18	#at 8 106 #width 160 #time 7	63	Everything looks so delicious. It's hard to decide what to buy.			
1160	206 19	#at 8 8 #width 160 #time 7	66	(Laughing) Everybody has that problem! But what a problem to have!			
1161	206 20	#at 8 106 #width 160 #time 5	39	Those custard pies look most delicious.			
1162	206 21	#at 8 8 #width 160 #time 8	81	Yes. Made from a recipe handed down from our dear Mama...and her Mama before her.			
1163	206 22	#at 8 106 #width 160 #time 5	42	Hmmmmm. It's still hard to decide, though.			
1164	206 23	#at 8 8 #width 160 #time 5	39	Well, take your time. There's no hurry.			
1165	206 24	#at 8 106 #width 160 #time 6	55	Sir, I would like to purchase one of your custard pies.			
1166	206 25	#at 8 8 #width 160 #time 6	35	The pies cost one silver coin each.			
1167	206 26	#at 8 106 #width 160 #time 6	36	I've got it right here. Here you go.			
1168	206 27	#at 8 106 #width 160 #time 5	20	Will a gold coin do?			
1169	206 28	#at 8 106 #width 160 #time 5	22	Will a gold needle do?			
1170	206 29	#at 8 106 #width 160 #time 5	23	Will a golden heart do?			
1171	206 30	#at 8 8 #width 160 #time 6	34	I hope you enjoy your custard pie.			
1172	206 31	#at 8 8 #width 160 #time 4	5	Sure!			
1173	206 32	#at 8 106 #width 160 #time 6	20	Oh, I'm sure I will!			
1174	206 33	#at 8 8 #width 160 #time 5	18	Okay. Here you go.			
1175	206 10	#at 8 8 #width 160 #time 11	128	Welcome back to our bakehouse, traveler! Of course ALL of our wares are wonderful, but don't forget our special on custard pies.			
1176	206 11	#at 8 8 #width 160 #time 8	65	Welcome back to our bakehouse! I hope you enjoy your custard pie.			
1177	206 12	#at 8 8 #width 160 #time 8	67	Welcome back to our bakehouse! I hope you enjoyed your custard pie.			
1178	206 7	#at 150 20 #dispose	28	Here's the last of the pies.			
1179	206 8	#at 8 8 #width 160 #time 10	124	Welcome to our bakehouse, traveler! Of course ALL of our wares are wonderful, but today we've got a special on custard pies.			
1180	206 9	#at 8 8 #width 160 #time 9	78	Just one silver coin each. But take your time...let me know when you're ready.			
1181	206 1	#at 8 8 #width 160 #dispose	116	Oh, she hasn't been doing too well lately, but my brother and I help out whenever we can. Thanks for asking, Amanda.			
1182	206 4	#at 8 8 #width 160 #dispose	57	Yes, they were just made fresh this morning. Here you go.			
1183			0				
1184			0				
1185			0				
1186			0				
1187			0				
1188	206 42	#at 8 106 #width 160 #time 6	36	It looks delicious! I'm sure I will.			
1189	203 0	#at 10 10 #time 4	20	May I help you, sir?			
1190	203 2	#at 10 10 #time 7	43	My golden needle! Wherever did you find it?			
1191	203 3	#at 10 10 #time 7	40	It was in a haystack by the country inn.			
1192	203 4	#at 10 10 #time 15	119	By the inn? Oh, yes. I remember visiting there not long ago. Oh, vulgar man, that innkeeper! He has no scruples at all.			
1193	203 5	#at 10 10 #time 7	57	Well, I'm glad to see you've got your golden needle back.			
1194	203 6	#at 10 10 #time 9	89	I wonder...could you possibly see fit to give me that wonderful cloak in exchange for it?			
1195	203 10	#at 10 10 #time 9	102	I would like to buy that fine cloak hanging in the corner. Will you take a lovely golden heart for it?			
1196	203 8	#at 10 10 #time 9	92	I would like to buy that fine cloak hanging in the corner. Will you take a gold coin for it?			
1197	203 7	#at 10 10 #time 10	72	The cloak? Well, why not. It's yours...for the price of a golden needle!			
1198	203 9	#at 10 10 #time 10	78	Why, yes. I guess a gold coin would be adequate. Here...let me get it for you.			
1199	203 11	#at 10 10 #time 10	96	This is a lovely piece! Of COURSE you may buy the cloak with this! Here...let me get it for you.			
1200	203 12	#at 10 10 #time 7	59	Thank you, kind sir. I'm sure it will help me on my travel.			
1201	203 13	#at 10 10 #time 7	40	I'm sure it will. Good luck...au revoir.			
1202	203 14	#at 10 10 #time 7	66	Oh, that cloak fits you PERFECTLY! It just looks WONDERFUL on you!			
1203	203 15	#at 10 10 #time 7	83	Let me tell you... it will certainly keep you toasty warm during the coming winter.			
1204	203 16	#at 10 10 #time 5	34	Let me know if you wish to buy it.			
1205	203 28	#at 10 10 #time 5	40	I'm interested in buying something here.			
1206	203 29	#at 10 10 #time 5	32	Ah! Let me show you some things.			
1207	203 30	#at 10 100 #time 8	76	A fine piece of cloth. With this material I could make you beautiful shirts.			
1208	203 31	#at 10 100 #width 280 #time 14	131	There isn't a more beautiful piece of fabric to be found anywhere! With this, I could make you the finest trousers you've ever had.			
1209	203 32	#at 10 100 #time 5	24	Well, what do you think?			
1210	203 33	#at 100 100 #time 8	48	Well, right now I'm just looking. Thanks anyway.			
1211	203 34	#at 10 100 #time 8	52	Sure, sure. Whatever you say. I'm just here to help.			
1212	203 39	#at 20 20 #time 10	94	I would like to buy that fine cloak hanging in the corner. Will you take a silver coin for it?			
1213	203 40	#at 20 20 #time 10	85	A silver coin! You MUST be joking! That beautiful cloak is worth MUCH more than that!			
1214	203 41	#at 20 20 #time 8	56	I'm afraid I have nothing else in my shop at that price.			
1215	203 45	#at 20 20 #time 6	32	Here. Let me help you with that.			
1216	203 46	#at 20 20 #time 6	71	It's a fine cloak. It could be very useful to a traveler like yourself.			
1217	203 47	#at 20 20 #time 7	33	I hope you enjoy your fine cloak.			
1218	203 48	#at 20 20 #time 10	65	Oh no, that doesn't even begin to cover the cost of the material.			
1219	203 17	#at 40 10 #time 4 #dispose	25	I don't like THIS at all!			
1220	203 18	#at 40 10 #time 4 #dispose	27	You expect me to wear THIS!			
1221	203 19	#at 40 10 #time 5 #dispose	35	Why, these trousers don't even fit!			
1222	203 20	#at 40 10 #time 5 #dispose	40	This shirt's too tight in the shoulders!			
1223	203 21	#at 40 10 #time 4 #dispose	27	This isn't my style at all!			
1224	203 22	#at 40 10 #time 5 #dispose	42	Take these back. I don't like any of them.			
1225	203 23	#at 40 10 #time 4 #dispose	31	The sleeves aren't long enough!			
1226	203 24	#at 40 10 #time 5 #dispose	51	This material's too thin. I like something thicker.			
1227	203 25	#at 40 10 #time 5 #dispose	61	Now how am I supposed to get my boots on over these trousers?			
1228	203 26	#at 40 10 #time 4 #dispose	31	This tie isn't the right color.			
1229	203 27	#at 40 10 #time 4 #dispose	43	Here, take this. Let me try on another one.			
1230			0				
1231			0				
1232			0				
1233	7 0 + 7 1	#at 10 90 #time 12	149	Excuse me, young man. Sorry to bother you, but I couldn't help but notice you sitting there on that log. I was wondering if there was anything wrong.			
1234	7 2	#at 10 10 #time 10	220	Why, yes...as a matter of fact, there is. I've been searching everywhere for my fiancee. She's a beautiful princess with long golden tresses, fetching blue eyes, and smooth, creamy skin. Have you seen her anywhere about?			
1235	7 3	#at 10 90 #time 4	43	No, sorry. I haven't seen anyone like that.			
1236	7 4	#at 10 10 #time 8	137	That's what I figured. No one has seen her. I bet that old witch who lives in the Dark Forest had something to do with her disappearance.			
1237	7 5	#at 10 90 #time 8	84	I'll keep an eye out for her. If I see her I'll let her know you're looking for her.			
1238	7 6	#at 10 10 #time 12	160	I would appreciate that. Well, I guess I'd better get back to looking for her. I'm not ever going to find her just sitting around here. Thanks for your concern.			
